user,item,rating
u1,i1,-1.8669699845141923
u1,i2,1.4935759876113537
u1,i3,-1.4935759876113537
u1,i6,0.0
u1,i7,0.3733939969028384
u1,i9,1.4935759876113537
u1,i10,-0.3733939969028384
u2,i1,0.0
u2,i2,-0.7467879938056768
u2,i3,0.3733939969028384
u2,i4,-0.7467879938056768
u2,i5,0.7467879938056768
u2,i7,0.7467879938056768
u2,i10,-1.4935759876113537
u3,i2,0.3733939969028384
u3,i3,-1.4935759876113537
u3,i4,0.3733939969028384
u3,i5,0.7467879938056768
u3,i6,-1.4935759876113537
u3,i9,0.3733939969028384
u4,i1,0.0
u4,i2,1.4935759876113537
u4,i4,-1.8669699845141923
u4,i6,0.3733939969028384
u4,i8,0.3733939969028384
u4,i9,1.1201819907085153
u5,i2,0.0
u5,i3,0.7467879938056768
u5,i6,-0.3733939969028384
u5,i7,0.7467879938056768
