user,item,rating
u1,i1,-2.4285714285714284
u1,i2,2.0714285714285716
u1,i3,-1.9285714285714284
u1,i6,0.07142857142857162
u1,i7,0.5714285714285716
u1,i9,2.0714285714285716
u1,i10,-0.4285714285714284
u2,i1,0.2142857142857144
u2,i2,-0.7857142857142856
u2,i3,0.7142857142857144
u2,i4,-0.7857142857142856
u2,i5,1.2142857142857144
u2,i7,1.2142857142857144
u2,i10,-1.7857142857142856
u3,i2,0.75
u3,i3,-1.75
u3,i4,0.75
u3,i5,1.25
u3,i6,-1.75
u3,i9,0.75
u4,i1,-0.3333333333333335
u4,i2,1.6666666666666665
u4,i4,-2.8333333333333335
u4,i6,0.16666666666666652
u4,i8,0.16666666666666652
u4,i9,1.1666666666666665
u5,i2,-0.375
u5,i3,0.625
u5,i6,-0.875
u5,i7,0.625
