user,item,rating
u1,i1,-1.1547005383792515
u1,i2,0.9970544855015814
u1,i3,-0.8589556903873333
u1,i6,0.4629100498862757
u1,i7,-1.154700538379252
u1,i9,0.8728715609439699
u1,i10,0.7071067811865476
u2,i1,0.577350269189626
u2,i2,-1.30384048104053
u2,i3,0.7027819284987273
u2,i4,0.0
u2,i5,NaN
u2,i7,0.5773502691896252
u2,i10,-0.7071067811865476
u3,i2,-0.15339299776947424
u3,i3,-0.8589556903873333
u3,i4,1.0
u3,i5,NaN
u3,i6,-1.3887301496588271
u3,i9,-1.0910894511799614
u4,i1,0.577350269189626
u4,i2,0.9970544855015814
u4,i4,-1.0
u4,i6,0.9258200997725514
u4,i8,NaN
u4,i9,0.21821789023599275
u5,i2,-0.5368754921931594
u5,i3,1.0151294522759395
u5,i6,0.0
u5,i7,0.5773502691896252
