user,item,rating
u1,i1,1.0
u1,i2,5.0
u1,i3,1.4444444444444444
u1,i6,3.2222222222222223
u1,i7,3.6666666666666665
u1,i9,5.0
u1,i10,2.7777777777777777
u2,i1,3.2222222222222223
u2,i2,2.333333333333333
u2,i3,3.6666666666666665
u2,i4,2.333333333333333
u2,i5,4.111111111111111
u2,i7,4.111111111111111
u2,i10,1.4444444444444444
u3,i2,3.6666666666666665
u3,i3,1.4444444444444444
u3,i4,3.6666666666666665
u3,i5,4.111111111111111
u3,i6,1.4444444444444444
u3,i9,3.6666666666666665
u4,i1,3.2222222222222223
u4,i2,5.0
u4,i4,1.0
u4,i6,3.6666666666666665
u4,i8,3.6666666666666665
u4,i9,4.555555555555555
u5,i2,3.2222222222222223
u5,i3,4.111111111111111
u5,i6,2.7777777777777777
u5,i7,4.111111111111111
