lhs,rhs,similarity
u5,u5,1.0
u5,u1,-0.30028612309793945
u5,u2,0.41008312348616366
u5,u3,0.039283710065919304
u5,u4,-0.16896562584161717
u1,u5,-0.3002861230979395
u1,u1,1.0
u1,u2,-0.16963476148407902
u1,u3,0.4799430476330324
u1,u4,0.4403826160476832
u2,u5,0.41008312348616366
u2,u1,-0.16963476148407902
u2,u2,0.9999999999999999
u2,u3,-0.10563286022020399
u2,u4,0.08547544223325282
u3,u5,0.039283710065919304
u3,u1,0.4799430476330324
u3,u2,-0.10563286022020399
u3,u3,1.0
u3,u4,-0.02712444904022447
u4,u5,-0.16896562584161717
u4,u1,0.4403826160476832
u4,u2,0.08547544223325282
u4,u3,-0.02712444904022447
u4,u4,0.9999999999999999
